date,platform,content_type,caption,hashtags,likes,comments,shares,followers
2024-01-01 10:00:00,Instagram,Image,Check out this amazing sunset! #photography #nature,3,245,18,12,3500
2024-01-02 14:30:00,Facebook,Video,New product launch coming soon! Stay tuned,2,189,25,8,5200
2024-01-03 18:00:00,LinkedIn,Text,5 tips for better productivity in 2024,5,156,42,15,2800
2024-01-04 09:15:00,Instagram,Image,Morning coffee vibes ☕,2,312,22,9,3500
2024-01-05 16:45:00,Facebook,Image,Weekend vibes! How's everyone doing?,1,278,19,6,5200
2024-01-06 11:00:00,Instagram,Video,Behind the scenes of our latest project,4,421,35,18,3600
2024-01-07 13:20:00,LinkedIn,Text,Industry insights: The future of remote work,6,203,58,22,2900
2024-01-08 19:30:00,Instagram,Image,Sunset at the beach 🌅,3,389,28,14,3700
2024-01-09 08:00:00,Facebook,Text,Motivational Monday! Start your week strong,2,167,15,5,5300
2024-01-10 15:00:00,LinkedIn,Image,Team collaboration leads to success,4,234,45,17,3000
2024-01-11 12:00:00,Instagram,Video,Quick tutorial on social media tips,5,456,41,21,3800
2024-01-12 17:30:00,Facebook,Video,Product demo: See it in action!,3,298,27,11,5400
2024-01-13 10:45:00,LinkedIn,Text,Networking tips for professionals,7,189,52,19,3100
2024-01-14 20:00:00,Instagram,Image,City lights at night ✨,2,523,38,16,3900
2024-01-15 09:30:00,Facebook,Image,Happy Friday everyone!,1,234,18,7,5500
2024-01-16 14:00:00,Instagram,Video,Day in my life vlog,6,612,55,28,4000
2024-01-17 16:20:00,LinkedIn,Text,Leadership lessons from 2024,5,267,61,24,3200
2024-01-18 11:15:00,Facebook,Text,Community spotlight: Meet our members,3,201,22,9,5600
2024-01-19 18:45:00,Instagram,Image,New workspace setup 🖥️,4,445,32,13,4100
2024-01-20 13:00:00,LinkedIn,Image,Company culture matters,3,298,48,20,3300
2024-01-21 19:00:00,Instagram,Video,Travel vlog: Exploring new places,7,678,62,31,4200
2024-01-22 08:30:00,Facebook,Video,Customer testimonials,4,345,29,12,5700
2024-01-23 15:45:00,LinkedIn,Text,Digital transformation trends,6,312,67,26,3400
2024-01-24 12:30:00,Instagram,Image,Food photography practice 🍕,3,389,27,11,4300
2024-01-25 17:00:00,Facebook,Image,Throwback Thursday memories,2,267,21,8,5800
2024-01-26 10:00:00,Instagram,Video,Workout routine tips,5,512,44,19,4400
2024-01-27 14:30:00,LinkedIn,Text,Remote work best practices,8,356,73,28,3500
2024-01-28 20:30:00,Instagram,Image,Evening walk in the park,2,423,31,14,4500
2024-01-29 09:00:00,Facebook,Text,Weekend plans? Share below!,1,198,16,6,5900
2024-01-30 16:00:00,LinkedIn,Image,Team building activities,4,289,51,21,3600
2024-01-31 11:45:00,Instagram,Video,Monthly recap: January highlights,6,589,53,25,4600
2024-02-01 18:00:00,Facebook,Video,New feature announcement,5,412,35,14,6000
2024-02-02 13:15:00,LinkedIn,Text,Career development strategies,7,334,69,27,3700
2024-02-03 19:45:00,Instagram,Image,Valentine's day prep 💝,3,467,34,15,4700
2024-02-04 08:15:00,Facebook,Image,Monday motivation post,2,223,19,7,6100
2024-02-05 15:30:00,Instagram,Video,DIY project tutorial,4,534,47,22,4800
2024-02-06 12:00:00,LinkedIn,Text,Innovation in the workplace,6,378,75,29,3800
2024-02-07 17:45:00,Facebook,Text,Community engagement matters,3,289,24,10,6200
2024-02-08 10:30:00,Instagram,Image,Spring is coming! 🌸,2,498,36,16,4900
2024-02-09 14:00:00,LinkedIn,Image,Professional growth mindset,5,401,58,23,3900
2024-02-10 20:00:00,Instagram,Video,Weekend adventure recap,8,645,59,30,5000
2024-02-11 09:45:00,Facebook,Video,User success stories,4,456,38,15,6300
2024-02-12 16:20:00,LinkedIn,Text,Sustainability in business,7,423,81,31,4000
2024-02-13 11:00:00,Instagram,Image,New project reveal 🎨,3,512,39,17,5100
2024-02-14 18:30:00,Facebook,Image,Happy Valentine's Day!,1,345,28,11,6400
2024-02-15 13:45:00,Instagram,Video,Day in the life content,6,578,51,24,5200
2024-02-16 19:00:00,LinkedIn,Text,Work-life balance tips,8,389,72,28,4100

