platform,post_date,post_time,content_type,caption_length,hashtags_count,likes,comments,shares,followers_at_post_time
Instagram,2024-01-01,10:00:00,image,125,5,245,18,12,3500
Facebook,2024-01-02,14:30:00,video,89,3,189,25,8,5200
LinkedIn,2024-01-03,18:00:00,text,156,7,156,42,15,2800
Instagram,2024-01-04,09:15:00,image,67,2,312,22,9,3600
Facebook,2024-01-05,16:45:00,carousel,134,4,278,19,6,5400
Instagram,2024-01-06,11:00:00,video,201,6,421,35,18,3800
LinkedIn,2024-01-07,13:20:00,text,178,8,203,58,22,2900
Instagram,2024-01-08,19:30:00,image,98,3,389,28,14,3900
Facebook,2024-01-09,08:00:00,text,112,2,167,15,5,5500
LinkedIn,2024-01-10,15:00:00,image,145,5,234,45,17,3000
Instagram,2024-01-11,12:00:00,video,167,5,456,41,21,4000
Facebook,2024-01-12,17:30:00,video,123,3,298,27,11,5600
LinkedIn,2024-01-13,10:45:00,text,198,9,189,52,19,3100
Instagram,2024-01-14,20:00:00,image,76,2,523,38,16,4100
Facebook,2024-01-15,09:30:00,image,89,1,234,18,7,5700
Instagram,2024-01-16,14:00:00,video,234,7,612,55,28,4200
LinkedIn,2024-01-17,16:20:00,text,167,6,267,61,24,3200
Facebook,2024-01-18,11:15:00,text,134,3,201,22,9,5800
Instagram,2024-01-19,18:45:00,image,156,4,445,32,13,4300
LinkedIn,2024-01-20,13:00:00,image,123,3,298,48,20,3300
Instagram,2024-01-21,19:00:00,video,267,8,678,62,31,4400
Facebook,2024-01-22,08:30:00,video,145,4,345,29,12,5900
LinkedIn,2024-01-23,15:45:00,text,189,7,312,67,26,3400
Instagram,2024-01-24,12:30:00,image,98,3,389,27,11,4500
Facebook,2024-01-25,17:00:00,image,112,2,267,21,8,6000
Instagram,2024-01-26,10:00:00,video,178,5,512,44,19,4600
LinkedIn,2024-01-27,14:30:00,text,201,8,356,73,28,3500
Instagram,2024-01-28,20:30:00,image,134,2,423,31,14,4700
Facebook,2024-01-29,09:00:00,text,89,1,198,16,6,6100
LinkedIn,2024-01-30,16:00:00,image,156,4,289,51,21,3600
Instagram,2024-01-31,11:45:00,video,223,6,589,53,25,4800
Facebook,2024-02-01,18:00:00,video,167,5,412,35,14,6200
LinkedIn,2024-02-02,13:15:00,text,189,7,334,69,27,3700
Instagram,2024-02-03,19:45:00,image,145,3,467,34,15,4900
Facebook,2024-02-04,08:15:00,image,98,2,223,19,7,6300
Instagram,2024-02-05,15:30:00,video,201,4,534,47,22,5000
LinkedIn,2024-02-06,12:00:00,text,178,6,378,75,29,3800
Facebook,2024-02-07,17:45:00,text,123,3,289,24,10,6400
Instagram,2024-02-08,10:30:00,image,112,2,498,36,16,5100
LinkedIn,2024-02-09,14:00:00,image,156,5,401,58,23,3900
Instagram,2024-02-10,20:00:00,video,245,8,645,59,30,5200
Facebook,2024-02-11,09:45:00,video,134,4,456,38,15,6500
LinkedIn,2024-02-12,16:20:00,text,201,7,423,81,31,4000
Instagram,2024-02-13,11:00:00,image,167,3,512,39,17,5300
Facebook,2024-02-14,18:30:00,image,98,1,345,28,11,6600
Instagram,2024-02-15,13:45:00,video,189,5,578,51,24,5400
LinkedIn,2024-02-16,19:00:00,text,156,6,389,72,28,4100

